"FC1"	"FC2"	"FC3"	"FC4"	"FC5"	"FC6"	"FC7"	"FC8"	"FC9"	"FC10"
"Cell cycle"	5.37120651369356	0	0	1.88846767757382	0	1.83257456828885	1.68117229129662	1.70305046447401	0	1.66793937969925
"DNA replication"	11.5391648887534	0	4.07650459027542	3.62882024318107	2.67033432077867	2.8552036199095	3.46123707031658	2.93549054068024	2.93254547868809	2.74719427244582
"Progesterone-mediated oocyte maturation"	0	3.16894335074327	0	2.43512937371361	0	0	0	0	0	0
"Homologous recombination"	0	0	0	3.24683916495148	0	0	0	0	0	0
"p53 signaling pathway"	0	0	0	2.53703233451837	0	0	0	0	0	0
"Oocyte meiosis"	0	0	0	2.11141177839851	0	0	0	0	0	0
"Phosphatidylinositol signaling system"	0	0	0	2.09829741952647	0	0	0	0	0	0
"Viral myocarditis"	0	0	0	2.27428365471256	0	0	0	0	0	0
