,len,loss,reward,diff,eff
0,2.0,0.14827054738998413,0.5421940700247829,-0.013438415020269868,0.2715899440002265
1,2.0,0.13162394613027573,0.40826554917506996,-0.012539554012580181,0.20402816380977667
2,2.0,0.15043718616167703,0.5692096401059212,-0.01201083144118209,0.23906887152980308
3,2.0,0.1534041054546833,0.49575204142578067,-0.006529537271038189,0.24200446292393538
4,2.0,0.16100119054317474,0.5485011734642378,-0.01518063158387848,0.23380599385514372
5,2.0,0.1599175656835238,0.442877842917123,-0.006429923864159288,0.21043930615401799
6,2.0,0.16377576972757066,0.451568098976674,-0.006242331680590702,0.2095335248268762
7,2.0,0.1635644268244505,0.20674660814668958,-0.015689833455181136,0.16352907497854904
8,2.0,0.16554303136136797,0.24767362956764402,-0.011938600946814582,0.1620219351934555
9,2.0,0.16413543075323106,0.32499087392477993,-0.013987547105613876,0.18135226327277973
10,2.0,0.16413897411389786,0.28600246357879994,-0.014258375944709188,0.179630853388258
11,2.0,0.164266058554252,0.33723242876159615,-0.01491404630041122,0.18719659622337392
12,2.0,0.1619758548644873,0.3396937869453285,-0.01232134557589398,0.18308498617163602
13,2.0,0.16310315472739084,0.5708495421794532,-0.010035179507905756,0.22281879276533506
14,2.0,0.1621687740087509,0.4740036854444799,-0.009294159450444674,0.21811850601552485
15,2.0,0.15712296264246106,0.5266459912833334,-0.008317308923903219,0.22159168305776136
16,2.0,0.15755287996109793,0.5712139018278644,-0.0007430079098725388,0.22709912843645338
17,2.0,0.15692180684871143,0.5617924298090072,-0.009293175308705517,0.24122245658670055
18,2.0,0.15731881284400037,0.4685486189700247,-0.006179325186941111,0.23784916650047816
19,2.0,0.15756750293076038,0.6031539505392801,-0.005796891094994244,0.24338984616005577
20,2.0,0.1567464360878581,0.5650673044490925,-0.0081991121658887,0.2424329199163924
21,2.0,0.1565136763859879,0.5722741566301602,-0.009199770890479174,0.24077382108314274
22,2.0,0.1554455566017524,0.552382675170229,-0.008370011931497976,0.2409105160705948
23,2.0,0.15698611891518036,0.5162742973058354,-0.007892593177815469,0.24296230673892888
24,2.0,0.15735364109277725,0.5246126078601948,-0.002885543358102597,0.24777790198100758
25,2.0,0.15886859739056,0.5175072811271858,-0.007769847137765903,0.24783537299353772
26,2.0,0.15792395146908583,0.5964972914626033,-0.014618442874114904,0.23363014510533386
27,2.0,0.15880232118070126,0.5121672353390097,-0.009666542816670162,0.24050325840521514
28,2.0,0.1588037777049788,0.5189849642474549,-0.012630250165960255,0.23687667138507307
29,2.0,0.1586581143240134,0.5555785241068061,-0.012332917887176569,0.23552762526641915
30,2.0,0.16061584387094743,0.922132181505833,-0.013395906822185324,0.24093437740285947
31,2.0,0.16236542421393096,0.44020824105262407,-0.004029985631464611,0.1951078373486112
32,2.0,0.16375025993946826,0.3825397402860743,-0.00878046596720854,0.18719055977876708
33,2.0,0.16410965406719377,0.3313956108009703,-0.008762332733027558,0.18790579213418016
34,2.0,0.16407421976327896,0.30677431406910116,-0.008272704774667804,0.1836493593347309
35,2.0,0.16386202288170656,0.36740890013223365,-0.011671990779124397,0.18576055552299187
36,2.0,0.16378937359597232,0.34477803736711754,-0.010005384553168115,0.1867075262048991
37,2.0,0.16388640650793126,0.32192709262935193,-0.006275042044784431,0.18647921809609935
38,2.0,0.16465432961017656,0.5558770225909192,-0.008000186992632939,0.21684403033990862
39,2.0,0.16446832958608865,0.9203704988200523,-0.0024350125537919553,0.2429743616594913
40,2.0,0.1644014859708344,0.8784759061423874,-0.006634195212236942,0.24011299297411914
41,2.0,0.1643576208679449,0.6005621467899009,-0.006568335632896553,0.24119622776869795
42,2.0,0.16482629730950954,0.47332900515829673,-0.010600520113402668,0.23760372546112435
43,2.0,0.16609681143679403,0.593261935290894,-0.010464272148829501,0.24269293939311232
44,2.0,0.1664516063200103,0.49385140622906365,-0.006702035579655102,0.24204763488327616
45,2.0,0.16677168837707976,0.5262931070575316,-0.008431716210553766,0.2415816018077795
46,2.0,0.16708860229304495,0.36648328010152237,-0.012272640337508068,0.23493109895951506
47,2.0,0.16761282598599792,0.5772439269851033,-0.007609984909250847,0.24409717293559632
48,2.0,0.16757172118036115,0.5181203099233492,-0.0067048816154168765,0.2415690352625635
49,2.0,0.16777842715382577,0.9397206738072552,-0.008447657537108752,0.24578513872475008
50,2.0,0.16769766939036987,0.48742536139638537,-0.005351565215536107,0.22005008202584525
51,2.0,0.16773194604768202,0.5065038632252725,-0.0099861592007331,0.2171367015207054
52,2.0,0.16761013260989818,0.535830449563232,-0.005526294201100184,0.21879950803756537
53,2.0,0.1674712252009798,0.4815430884840744,-0.009709053177978893,0.21587974973829904
54,2.0,0.1671286031603813,0.43591092479211385,-0.007726020690696193,0.22011708610582004
55,2.0,0.16792849038860627,0.4962674373188895,-0.008095967074750151,0.21908087975840468
56,2.0,0.16828240597980065,0.4670805317339659,-0.002287119572673727,0.21877840010856944
57,2.0,0.16835770717468754,0.47249222750133213,-0.0069417909800240565,0.22281623098069106
58,2.0,0.16867294541354907,0.4881250065638729,-0.004172322126108909,0.21916629905449614
59,2.0,0.16944860157867273,0.4733832746689249,-0.006923993760074706,0.21734266072069763
60,2.0,0.16970789860017965,0.5732717429668056,-0.005420639713367098,0.22092217265410316
61,2.0,0.17062058311796957,0.45794981685823355,-0.01057193546442912,0.22056362958938108
62,2.0,0.17093656022870352,0.5078027271144204,-0.008337878790753914,0.22266769833407454
63,2.0,0.17076752649154514,0.5610908455808812,-0.004219647634968772,0.22183001204745698
64,2.0,0.17022411399162732,0.4214534193821617,-0.010249608152297437,0.21952532116001175
65,2.0,0.17009620582967094,0.42767711340339115,-0.01120568836879531,0.20893259751153476
66,2.0,0.170151135703521,0.4597107898363969,-0.007463442328083984,0.2226717501130399
